2000011,70,55.8,45,55,51.6,45,100,87.9,53,5,0.3,0,29.3,29.2,29.2,0.00
2000012,70,55.8,50,54,50.4,46,100,82.7,56,6,2.1,0,29.3,29.2,29.2,0.00
2000013,64,53.1,43,50,47.0,43,100,81.6,56,6,2.4,0,29.3,29.2,29.1,0.00
2000014,63,52.2,46,50,47.4,45,100,85.3,59,7,1.6,0,29.2,29.2,29.1,0.00
2000015,63,49.1,0,50,45.1,0,100,83.1,0,8,1.1,0,29.3,27.9,0.0,0.00
2000016,57,50.0,43,48,45.8,41,100,86.8,67,10,4.0,0,29.2,29.2,29.1,0.00
2000017,61,50.2,43,52,46.9,43,100,89.9,55,7,1.0,0,29.2,29.1,29.1,0.00
2000018,63,55.8,50,55,52.5,46,100,89.2,63,7,4.7,2,29.2,29.1,29.0,0.00
2000019,57,54.2,52,57,52.6,50,100,94.5,88,9,6.2,0,29.1,29.1,29.0,0.00
20000110,63,56.7,52,55,52.5,48,100,86.4,72,6,2.3,0,29.1,27.8,0.0,0.00
20000111,73,61.2,50,55,52.6,50,100,75.2,44,14,6.8,2,29.2,29.1,29.0,0.00
20000112,70,62.3,57,61,56.4,54,94,82.3,64,21,10.8,3,29.1,29.0,29.0,0.00
20000113,66,59.0,50,59,56.7,50,100,92.7,77,9,3.8,0,29.1,29.1,29.0,0.00
20000114,66,55.3,45,52,40.5,34,100,61.2,32,12,4.3,0,29.1,29.1,29.0,0.00
20000115,61,50.5,0,45,40.3,0,93,65.9,0,9,5.0,0,29.3,29.2,29.1,0.00
20000116,61,50.5,41,43,41.0,36,100,72.7,42,14,6.8,0,55.1,30.4,29.2,0.00
20000117,64,52.3,41,43,40.8,37,100,67.5,37,17,7.5,2,29.4,29.3,29.2,0.00
20000118,68,56.6,45,45,41.5,37,87,60.0,35,18,7.9,3,29.3,29.2,29.1,0.00
20000119,70,58.1,46,48,42.7,36,87,60.4,28,14,7.8,0,29.2,27.9,0.0,0.00
20000120,72,59.6,48,46,43.4,37,87,57.8,29,17,5.8,0,29.1,29.0,29.0,0.00
20000121,73,62.2,55,54,46.8,39,94,60.4,31,12,6.3,0,29.1,29.1,29.0,0.00
20000122,68,58.1,52,55,52.5,48,100,83.2,49,9,3.5,0,29.2,29.1,29.1,0.00
20000123,72,57.3,0,57,49.2,0,100,74.0,0,8,2.1,0,29.2,29.2,29.1,0.00
20000124,72,60.8,48,54,50.6,45,100,72.0,38,9,3.5,0,29.2,29.2,29.2,0.00
20000125,70,59.2,54,61,53.7,48,100,82.6,46,25,11.0,0,29.3,29.2,29.1,0.00
20000126,66,58.3,52,57,54.5,52,100,87.5,68,14,3.2,0,29.3,27.7,0.0,0.00
20000127,64,56.3,50,55,52.9,50,100,88.9,68,16,8.4,5,29.3,29.3,29.2,0.00
20000128,70,57.9,48,52,48.5,45,100,72.9,46,15,8.6,5,29.3,29.2,29.2,0.00
20000129,70,58.8,48,48,44.5,41,87,62.5,35,17,8.7,0,29.2,29.2,29.1,0.00
20000130,73,61.7,50,52,46.7,39,82,60.2,36,12,5.8,0,29.2,29.2,29.1,0.00
20000131,72,65.3,54,55,52.3,48,88,64.6,43,25,15.4,9,29.2,29.1,29.0,0.00
2000021,72,61.7,55,57,55.2,52,100,81.2,57,16,4.7,0,29.0,29.0,28.9,0.00
2000022,68,61.3,55,61,56.9,54,100,86.4,68,12,6.4,2,29.2,29.1,29.1,0.00
2000023,73,63.0,54,57,54.1,45,100,75.3,36,7,4.3,0,29.3,29.2,29.1,0.00
2000024,72,62.1,55,59,53.8,48,100,77.3,46,17,8.9,2,29.1,29.0,28.9,0.00
2000025,61,53.9,0,55,50.2,0,100,82.8,0,18,6.4,0,29.1,29.0,28.7,0.00
2000026,64,57.2,52,55,52.4,50,100,84.7,63,7,3.9,0,29.2,27.9,0.0,0.00
2000027,61,51.6,0,54,49.4,0,100,88.3,0,9,3.8,0,29.2,27.9,0.0,0.00
2000028,61,53.0,46,55,51.0,46,100,93.5,77,9,3.1,0,29.2,29.1,29.1,0.00
2000029,68,57.8,45,54,49.8,45,100,76.6,52,7,3.0,0,29.2,29.1,29.0,0.00
20000210,68,59.7,54,59,52.7,45,100,80.7,46,14,6.6,0,29.1,29.0,28.9,0.00
20000211,61,56.0,50,55,53.3,50,100,90.5,77,7,1.9,0,29.1,29.0,29.0,0.00
20000212,63,54.4,43,52,49.2,43,100,84.7,48,8,2.9,0,29.2,29.2,29.1,0.00
20000213,63,50.4,0,50,44.2,0,100,77.1,0,14,4.9,0,29.3,27.9,0.0,0.00
20000214,66,49.8,0,48,39.5,0,87,57.2,0,12,3.9,0,29.3,24.1,0.0,0.00
20000215,70,60.0,48,54,48.9,43,94,69.0,43,12,4.2,0,29.2,29.1,29.1,0.00
20000216,72,60.1,52,54,47.9,41,94,67.6,33,6,1.4,0,29.2,29.1,29.0,0.00
20000217,73,63.1,54,50,45.6,37,77,55.8,29,9,3.2,0,29.1,29.0,29.0,0.00
20000218,70,59.0,50,54,44.2,36,87,61.1,28,13,3.4,0,29.1,27.8,0.0,0.00
20000219,70,60.2,50,48,45.1,39,87,60.9,33,9,1.6,0,29.2,27.6,0.0,0.00
20000220,75,63.5,50,50,41.8,0,82,52.0,18,9,4.0,0,29.1,29.1,29.0,0.00
20000221,73,62.6,54,52,48.5,45,82,61.9,38,9,3.7,0,29.2,29.1,29.1,0.00
20000222,72,63.9,52,48,42.4,36,82,49.3,28,12,7.1,0,29.3,29.2,29.1,0.00
